sentID.BTEC	splits_shared_task	dialect	raw	CODA
37	corpus-6-dev	TUN	نعطيك نومرو التاليفون و الادريسة هاذوما.	نعطيك نومرو التالفون والادريسة هاذوما.
78	corpus-6-dev	TUN	ممكن تبدللي بقعتي؟	ممكن تبدل لي بقعتي؟
89	corpus-6-dev	TUN	تنجم تعاودلي اسمك؟	تنجم تعاود لي اسمك؟
100	corpus-6-dev	TUN	فما حانوت شامل قريب من هنا؟	فما حانوت شامل قريب من هنا؟
134	corpus-6-dev	TUN	الكار هاذي تمشي لوتيل الشيراتون؟	الكار هاذي تمشي لوتيل الشيراتون؟
135	corpus-6-dev	TUN	قداش يطلعو؟	قداش يطلعوا؟
136	corpus-6-dev	TUN	الدنية سخونة شوية. ميسالش نحل الشباك؟	الدنيا سخونة شوية. ميسالش نحل الشباك؟
139	corpus-6-dev	TUN	عينيا حمر.	عينيا حمر.
142	corpus-6-dev	TUN	ما انجمش نضمنلك، اما تو نعملو اللي انجمو.	ما ننجمش نضمن لك، اما تو نعملوا اللي ننجموا.
156	corpus-6-dev	TUN	وقتاش يبدا طرح الباسكات؟	وقتاش يبدا طرح الباسكات؟
207	corpus-6-dev	TUN	شنوة نوعها الحجرة هاذي؟	شنوا نوعها الحجرة هاذي؟
229	corpus-6-dev	TUN	سامحني، سيدي. نحب نحوس شوية في بوسطن.	سامحني، سيدي. نحب نحوس شوية في بوسطن.
256	corpus-6-dev	TUN	نحب نشوف الساك الازرق الي في الشباك.	نحب نشوف الساك الازرق اللي في الشباك.
299	corpus-6-dev	TUN	تهزو معاك ولا نبعثوهولك؟	تهزه معاك ولا نبعثوه لك؟
329	corpus-6-dev	TUN	وقتاش تفرغ طاولة؟	وقتاش تفرغ طاولة؟
454	corpus-6-dev	TUN	نحب بقعة بجنب الشباك، عيشك.	نحب بقعة بجنب الشباك، يعيشك.
480	corpus-6-dev	TUN	نحب نوصق الفاليجة هاذي.	نحب نوصق الفاليجة هاذي.
487	corpus-6-dev	TUN	الوداع صعيب.	الوداع صعيب.
541	corpus-6-dev	TUN	انجم نغسلو في الدار باليد ولا بالماكينة؟	ننجم نغسله في الدار باليد ولا بالماكينة؟
542	corpus-6-dev	TUN	نحب حكة اقواش، يعيشك.	نحب حقة قواش، يعيشك.
561	corpus-6-dev	TUN	في الحالة هاذي، ننصحك بهذا.	في الحالة هاذي، ننصحك بهذا.
610	corpus-6-dev	TUN	تنجم تخلي عندك حاجاتي الثمينة؟	تنجم تخلي عندك حاجاتي الثمينة؟
691	corpus-6-dev	TUN	حسب ما نشوف، ضاهر فيك عندك التهاب.	حسب ما نشوف، ضاهر فيك عندك التهاب.
698	corpus-6-dev	TUN	نحب زوز كراسي في الطاق الثاني لسهرية اليوم؟	نحب زوز كراسي في الطاق الثاني لسهرية اليوم؟
702	corpus-6-dev	TUN	وقتاش يحل البيرو هذا؟	وقتاش يحل البيرو هذا؟
752	corpus-6-dev	TUN	يعطيك الصحة. هذا مفتاح بيتك. الحمال تو يطلعلك باقاجك.	يعطيك الصحة. هذا مفتاح بيتك. الحمال تو يطلع لك باغاجك.
755	corpus-6-dev	TUN	خلي باقاجي عندك، يعيشك.	خلي باقاجي عندك، يعيشك.
785	corpus-6-dev	TUN	ما ضاهرلي كان انجم نعاونك.	ما ضاهر لي كان ننجم نعاونك.
802	corpus-6-dev	TUN	ميسالش تطلب منو ينحي الدخان، غادي؟	ميسالش تطلب منه ينحي الدخان، غادي؟
827	corpus-6-dev	TUN	نحب نعمل شوية اعمال خيرية.	نحب نعمل شوية اعمال خيرية.
841	corpus-6-dev	TUN	بريت بالقدا.	بريت بالقدا.
910	corpus-6-dev	TUN	تعطيني شوية ماء، عيشك؟ عطشان برشة.	تعطيني شوية ماء، يعيشك؟ عطشان برشا.
989	corpus-6-dev	TUN	نحب زوز صحاف من رشتة الموريسوبا.	نحب زوز صحاف من رشتة الموريسوبا.
996	corpus-6-dev	TUN	جرحت روحي بالقزاز هوني.	جرحت روحي بالقزاز هوني.
997	corpus-6-dev	TUN	حقني سالت المدرب، اما تنجمش تقلي اناهية الماكينة الباهية لضهري؟	حقني سالت المدرب، اما تنجمش تقول لي اناهي الماكينة الباهية لظهري؟
1008	corpus-6-dev	TUN	مشغل المكالمات.	مشغل المكالمات.
1011	corpus-6-dev	TUN	ضاهرلي ميش هاذي محطتنا.	ضاهر لي مش هاذي محطتنا.
1024	corpus-6-dev	TUN	تتفكر نومرو الكرهبة؟	تتفكر نومرو الكرهبة؟
1043	corpus-6-dev	TUN	كعبة بيرا، ستاك و فريت، و الصلاطة الخاصة متاع الشاف.	كعبة بيرة، ستاك وفريت، والصلاطة الخاصة متاع الشاف.
1107	corpus-6-dev	TUN	تو نعاود نطلب.	تو نعاود نطلب.
1147	corpus-6-dev	TUN	تعرفش المطعم هذاكا بالحجز ولا لا؟	تعرفش المطعم هاذاكا بالحجز ولا لا؟
1151	corpus-6-dev	TUN	فما حجام في الوتيل؟	فما حجام في الوتيل؟
1157	corpus-6-dev	TUN	عندي ليك طلب.	عندي ليك طلب.
1161	corpus-6-dev	TUN	دفيلي البيت شوية، عيشك.	دفي لي البيت شوية، يعيشك.
1173	corpus-6-dev	TUN	ما انجمش نقلك.	ما ننجمش نقول لك.
1176	corpus-6-dev	TUN	ويني الرصيف نومرو خمسة؟	وينو الرصيف نومرو خمسة؟
1202	corpus-6-dev	TUN	نحب دليل سياحي يحكي ياباني.	نحب دليل سياحي يحكي ياباني.
1223	corpus-6-dev	TUN	كملت تعشيت؟	كملت تعشيت؟
1225	corpus-6-dev	TUN	هذا احسن من ناحية الجودة.	هذا احسن من ناحية الجودة.
1230	corpus-6-dev	TUN	نتخاطر معاك على زوز جنيهات.	نتخاطر معاك على زوز جنيهات.
1231	corpus-6-dev	TUN	عندكم زيارة فيها قنطرة القولدن قايت؟	عندكم زيارة فيها قنطرة الغولدن غيت؟
1277	corpus-6-dev	TUN	رحلة نومرو سبعة ميا و تلاثة لطوكيو نهار اربعة سبتمبر، نهار الجمعة.	رحلة نومرو سبعمية وثلاثة لطوكيو نهار اربعة سبتمبر، نهار الجمعة.
1286	corpus-6-dev	TUN	نلوج في لصق.	نلوج في لصق.
1297	corpus-6-dev	TUN	و غدوة؟	وغدوة؟
1310	corpus-6-dev	TUN	في صحتك.	في صحتك.
1323	corpus-6-dev	TUN	عندكم بالانتين عمرو عشرة سنين؟	عندكم بالانتين عمره عشرة سنين؟
1328	corpus-6-dev	TUN	ممكن ننجمو، اما الحكاية تاخذ اشهرة.	ممكن ننجمو، اما الحكاية تاخذ اشهرة.
1339	corpus-6-dev	TUN	نحب حاجة مقلدة على الشانال.	نحب حاجة مقلدة على الشانال.
1345	corpus-6-dev	TUN	نحب نقيد في رحلة شلالات نياقارا.	نحب نقيد في رحلة شلالات نياغارا.
1358	corpus-6-dev	TUN	ضاهرلي اي.	ضاهر لي اي.
1371	corpus-6-dev	TUN	اه لا. قاعد يقلي في حاجة. زعمة شنوة نعمل؟	آه لا. قاعد يقول لي في حاجة. زعمة شنوا نعمل؟
1417	corpus-6-dev	TUN	اناهيا الكاز الي تمشي لقيلد هول؟	اناهيا الكار اللي تمشي لقيلد هول؟
1423	corpus-6-dev	TUN	موجود في الدرجة الثانية في الصفة الوسطانية.	موجود في الدرجة الثانية في الصفة الوسطانية.
1443	corpus-6-dev	TUN	يلزمني نرجع لليابان توا توا؟	يلزمني نرجع لليابان توا توا؟
1447	corpus-6-dev	TUN	كان فما شك مفاتح قطوس مربوط بشريط هوني.	كان فما شك مفاتح قطوس مربوط بشريط هوني.
1457	corpus-6-dev	TUN	ثمنطاشن دولار بالضبط.	ثمنتعشن دولار بالضبط.
1475	corpus-6-dev	TUN	هاذي دار طيارة.	هاذي دار طيارة.
1497	corpus-6-dev	TUN	كوكا صغيرة، عيشك.	كوكا صغيرة، يعيشك.
1504	corpus-6-dev	TUN	بقاداش التامين على تلاثة مياة دولار؟	بقاداش التامين على ثلاثمياة دولار؟
1538	corpus-6-dev	TUN	تنجمش تقلي الفلوس المقيدة هاذي متاع شنوة؟	تنجمش تقول لي الفلوس المقيدة هاذي متاع شنوا؟
1553	corpus-6-dev	TUN	شنوا الطرح الي قاعد يمشي في الملعب؟	شنوا الطرح اللي قاعد يمشي في الملعب؟
1568	corpus-6-dev	TUN	السبعة متاع الصباح، بالتوقيت المحلي.	السبعة متاع الصباح، بالتوقيت المحلي.
1591	corpus-6-dev	TUN	الباكو طولو خمسة و ستين صانتي، عرضو تلاثين صانتي، و علوو ثمنتاشن صانتي.	الباكو طوله خمسة وستين سانتي، عرضه ثلاثين سانتي، وعلوه ثمنتعشن سانتي.
1597	corpus-6-dev	TUN	العشرة. هذا مفتاح بيتك. بيتك هي اربعة و خمسين تلاثة و تلاثين. الحمال تو يطلعلك دبشك.	العشرة. هذا مفتاح بيتك. بيتك هي اربعة وخمسين ثلاثة وثلاثين. الحمال تو يطلع لك دبشك.
1602	corpus-6-dev	TUN	تحففلي في قصتي إينش فوق حواجبي؟	تحفف لي في قصتي اينش فوق حواجبي؟
1611	corpus-6-dev	TUN	دور عاليسار مع الضو الرفاف.	دور عاليسار مع الضو الرفاف.
1626	corpus-6-dev	TUN	عيشك نحي حوايجك و البس الروبة هاذي.	يعيشك نحي حوايجك والبس الروبة هاذي.
1643	corpus-6-dev	TUN	عندك سكوتش؟	عندك سكوتش؟
1652	corpus-6-dev	TUN	وين اقرب حانوت صبابط؟	وين اقرب حانوت صبابط؟
1656	corpus-6-dev	TUN	عندك عين فنية.	عندك عين فنية.
1697	corpus-6-dev	TUN	تاخو في دوايات اخرين؟	تاخو في دوايات آخرين؟
1708	corpus-6-dev	TUN	العفو. نخير بقعة بجنب الممشى.	العفو. نخير بقعة بجنب الممشى.
1710	corpus-6-dev	TUN	عندك كاش يمشي معاه؟	عندك كاش يمشي معاه؟
1721	corpus-6-dev	TUN	ياسر ضويقة هوني.	ياسر ضويقة هوني.
1723	corpus-6-dev	TUN	اهلا، هاذي البيت اثناش اربعة و تلاثين. اسمي اودا. تقوموني بتاليفون غدوة مع الستة متاع الصباح، عيشك.	اهلا، هاذي البيت اثنعش اربعة وثلاثين. اسمي اودا. تقوموني بالتالفون غدوة مع الستة متاع الصباح، يعيشك.
1740	corpus-6-dev	TUN	انت عضو في النادي المنتشر متاعنا اكري-كرهبة؟	انت عضو في النادي المنتشر متاعنا اكري  كرهبة؟
1814	corpus-6-dev	TUN	ما فهمتكش فاش تقول.	ما فهمتكش فاش تقول.
1844	corpus-6-dev	TUN	راسك يوجع؟	راسك يوجع؟
1850	corpus-6-dev	TUN	ميسالش تجي تهزني من اقرب محطة؟	ميسالش تجي تهزني من اقرب محطة؟
1851	corpus-6-dev	TUN	اي.	اي.
1857	corpus-6-dev	TUN	ميسالش تجيبلي جرايد ولا مجلات؟	ميسالش تجيب لي جرايد ولا مجلات؟
1879	corpus-6-dev	TUN	نحب كتاب نحو.	نحب كتاب نحو.
1884	corpus-6-dev	TUN	فما ملعب متع تنس قريب من هوني؟	فما ملعب متاع تنس قريب من هوني؟
1889	corpus-6-dev	TUN	نوار حب الملوك الي تحتفلو بيه في اليابان وقتاش ينور؟	نوار حب الملوك اللي تحتفلوا بيه في اليابان وقتاش ينور؟
1896	corpus-6-dev	TUN	اي، عنا. تو نمشي نجيبهولك توا.	اي، عنا. تو نمشي نجيبه لك توا.
1914	corpus-6-dev	TUN	شنوة تحب فوقها؟	شنوا تحب فوقها؟
1933	corpus-6-dev	TUN	يضهرلي خارجين الطرابش هاذوما. ضاهرلي بش نشري وحدة، زادة.	يضهر لي خارجين الطرابش هاذوما. ضاهر لي باش نشري واحدة، زادة.
2002	corpus-6-dev	TUN	كيفاش تحب كوارطك؟	كيفاش تحب كوارتك؟
2019	corpus-6-dev	TUN	توا محلول؟	توا محلول؟
2026	corpus-6-dev	TUN	شنوما اهم العروض في المعرض هذا؟	شنوما اهم العروض في المعرض هذا؟
2061	corpus-6-dev	TUN	قريب نمشيو.	قريب نمشيوا.
2076	corpus-6-dev	TUN	واو. مكبرو الباي.	واو. مكبره الباي.
2079	corpus-6-dev	TUN	من انا سكة يخرج الترينو متاع ميلانو؟	من انى سكة يخرج الترينو متاع ميلانو؟
2095	corpus-6-dev	TUN	عيشك قلي كيفاش نعمل مكالمة دولية.	يعيشك قل لي كيفاش نعمل مكالمة دولية.
2097	corpus-6-dev	TUN	انجم نطلع معايا الدبش هذا؟	ننجم نطلع معاي الدبش هذا؟
2108	corpus-6-dev	TUN	عندي خمسين دولار نتصرف فيهم.	عندي خمسين دولار نتصرف فيهم.
2109	corpus-6-dev	TUN	هاو بش نعديلك سي سوزوكي.	هاو باش نعدي لك سي سوزوكي.
2150	corpus-6-dev	TUN	السنة هاذي طاحت.	السنة هاذي طاحت.
2162	corpus-6-dev	TUN	انا، زادة. قلت تنجمش تعاوني نفهم المينو.	انا، زادة. قلت تنجمش تعاوني نفهم المينو.
2194	corpus-6-dev	TUN	نلفهولك؟	نلفه لك؟
2213	corpus-6-dev	TUN	يلزم ساعتين بش واحد يمشي للبيرو و يجي.	يلزم ساعتين باش واحد يمشي للبيرو ويجي.
2219	corpus-6-dev	TUN	عندي تسكرة لدترويت مع الحداش متاع الصباح.	عندي تسكرة لدترويت مع الحدعش متاع الصباح.
2239	corpus-6-dev	TUN	حفلة لاربعة مالناس، الليلة السبعة و نص. باسم شكون؟	حفلة لاربعة مالناس، الليلة السبعة ونص. باسم شكون؟
2240	corpus-6-dev	TUN	نحب نبدل الكماندة متاعي.	نحب نبدل الكماندة متاعي.
2255	corpus-6-dev	TUN	خمسة و عشرين دولار فيهم حق الكار، الدليل، و الدخول.	خمسة وعشرين دولار فيهم حق الكار، الدليل، والدخول.
2258	corpus-6-dev	TUN	شنوة الي يمشي مع هذا حسب رايك؟	شنوا اللي يمشي مع هذا حسب رايك؟
2279	corpus-6-dev	TUN	اي. نلوج في روبة.	اي. نلوج في روبة.
2312	corpus-6-dev	TUN	يعطيك الصحة الي جبتني لهوني بعد وقت الخدمة. مزيتك كبيرة بالحق.	يعطيك الصحة اللي جبتني لهوني بعد وقت الخدمة. مزيتك كبيرة بالحق.
2349	corpus-6-dev	TUN	المفروض تسخن الدنية ليوم في العشية.	المفروض تسخن الدنيا اليوم في العشية.
2371	corpus-6-dev	TUN	ويني الجبانة؟	ويني الجبانة؟
2388	corpus-6-dev	TUN	مشوه هذا.	مشوه هذا.
2409	corpus-6-dev	TUN	يتبعث عالبحر؟	يتبعث عالبحر؟
2411	corpus-6-dev	TUN	خطر كان ما نروحش للوتيل في تاكسي.	خطر كان ما نروحش للوتيل في تاكسي.
2453	corpus-6-dev	TUN	بش نوصلو في الوقت؟	باش نوصلوا في الوقت؟
2461	corpus-6-dev	TUN	نحب على شوية صرف.	نحب على شوية صرف.
2464	corpus-6-dev	TUN	تحكي بالشوية عيشك؟	تحكي بالشوية يعيشك؟
2482	corpus-6-dev	TUN	نلوج في محرمة حرير.	نلوج في محرمة حرير.
2486	corpus-6-dev	TUN	نمشي مع السبعة غدوة في الصباح، دونك ماذابيا تمدلي الفاتورة توة.	نمشي مع السبعة غدوة في الصباح، دونك ماذابيا تمد لي الفاتورة توا.
2497	corpus-6-dev	TUN	فما اربعة فصول مختلفة.	فما اربعة فصول مختلفة.
2525	corpus-6-dev	TUN	تحبلها تسعة و تسعين نهار الكارطة بش تعاود تطلع. عيشك حط وتيلك و نومرو تاليفونك عالورقة هاذي، بش انجمو نتصلو بيك.	تحب لها تسعة وتسعين نهار الكارطة باش تعاود تطلع. يعيشك حط وتيلك ونومرو تاليفونك عالورقة هاذي، باش ننجموا نتصلوا بيك.
2527	corpus-6-dev	TUN	تقرا انت؟	تقرا انت؟
2535	corpus-6-dev	TUN	نحب خيمة.	نحب خيمة.
2565	corpus-6-dev	TUN	توا ماضي ساعة و اربعة دقايق متاع العشية.	توا ماضي ساعة واربعة دقايق متاع العشية.
2571	corpus-6-dev	TUN	في المشتريات الي يفوتو تسعين دولار، تنجمو تشريو مانغير تاكس.	في المشتريات اللي يفوتوا تسعين دولار، تنجموا تشريوا من غير تاكس.
2580	corpus-6-dev	TUN	فهمتك. زوز تساكر مشي و جي لسان دياقو، عيشك.	فهمتك. زوز تساكر مشي وجي لسان دياقو، يعيشك.
2607	corpus-6-dev	TUN	ممتازين للبحر.	ممتازين للبحر.
2625	corpus-6-dev	TUN	في جرة عاصفة ثلجية، الرحلة صفر واحد و عشرين متاع الخطوط الجوية الكنادية تلغات.	في جرة عاصفة ثلجية، الرحلة صفر واحد وعشرين متاع الخطوط الجوية كندية تلغات.
2663	corpus-6-dev	TUN	نلقي كل شي مالقايمة هاذي في المغازة ولا يلزمني نمشي للعطار زادة؟	نلقي كل شي مالقايمة هاذي في المغازة ولا يلزمني نمشي للعطار زادة؟
2680	corpus-6-dev	TUN	وينو العرض؟	وينو العرض؟
2700	corpus-6-dev	TUN	قداش تاخذ وقت كي تتبعث عالبحر؟	قداش تاخذ وقت كي تتبعث عالبحر؟
2710	corpus-6-dev	TUN	نحب نبدل طيارتي.	نحب نبدل طيارتي.
2720	corpus-6-dev	TUN	نحب ناخذ درس سكي.	نحب ناخذ درس سكي.
2722	corpus-6-dev	TUN	لعبد برك؟	لعبد برك؟
2743	corpus-6-dev	TUN	انجمو نلعبو بالصبابط هاذوما؟	ننجموا نلعبوا بالصبابط هاذوما؟
2782	corpus-6-dev	TUN	خذالي ساكي.	خذا لي ساكي.
2787	corpus-6-dev	TUN	شنوة يلزمني نلبس؟	شنوا يلزمني نلبس؟
2857	corpus-6-dev	TUN	بالطبيعة. وبربي سلملي على للا كوك الي عملت برشة حاجات في اجتماعنا.	بالطبيعة. وبربي سلم لي على للا كوك اللي عملت برشا حاجات في اجتماعنا.
2859	corpus-6-dev	TUN	عندكم بيوت فارغة بالسوم هاذاكا؟	عندكم بيوت فارغة بالسوم هاذاكا؟
2884	corpus-6-dev	TUN	ماليسار، هذا يخص الوقت اللازم للتصنيع، تقدير الكلفة، و المجازفة المالية.	ماليسار، هذا يخص الوقت اللازم للتصنيع، تقدير الكلفة، والمجازفة المالية.
2903	corpus-6-dev	TUN	عنا كان قياس ثمنية توة.	عنا كان قياس ثمانية توا.
2906	corpus-6-dev	TUN	متعدي و برا.	متعدي وبرا.
2910	corpus-6-dev	TUN	نحب واحد صحيح.	نحب واحد صحيح.
2948	corpus-6-dev	TUN	ميسالش تعاوني نلقى تساكر؟	ميسالش تعاوني نلقى تساكر؟
2965	corpus-6-dev	TUN	القهوة هاذي قوية برشة.	القهوة هاذي قوية برشا.
2974	corpus-6-dev	TUN	تعطيني مخدر عيشك؟	تعطيني مخدر يعيشك؟
2978	corpus-6-dev	TUN	غزرتو مليح للمتهم؟	غزرتوا مليح للمتهم؟
3005	corpus-6-dev	TUN	نحب نشري حوايج دخلانية.	نحب نشري حوايج دخلانية.
3007	corpus-6-dev	TUN	الطبق الرئيسي هو خليط بين البقري المشوي و جراد البحر.	الطبق الرئيسي هو خليط بين البقري المشوي وجراد البحر.
3009	corpus-6-dev	TUN	منين يخرج الترينو لبوسطن؟	منين يخرج الترينو لبوسطن؟
3018	corpus-6-dev	TUN	بش ناكلو مع بعضن، زيدنا فرشيطة اخرى عيشك؟	باش ناكلوه مع بعضنا، زيدنا فرشيطة اخرى يعيشك؟
3022	corpus-6-dev	TUN	في وتيل هاليكولاني.	في وتيل هاليكولاني.
3065	corpus-6-dev	TUN	بقداش نكري بيبور؟	بقداش نكري بيبور؟
3068	corpus-6-dev	TUN	بديتو تاخذو في كماندات العشاء؟	بديتوا تاخذوا في كماندات العشاء؟
3074	corpus-6-dev	TUN	طاولة بحذا الشباك، عيشك.	طاولة بحذا الشباك، يعيشك.
3075	corpus-6-dev	TUN	توريني اللي بجنب الشباك؟	توريني اللي بجنب الشباك؟
3086	corpus-6-dev	TUN	عندكم كوارط صغار؟	عندكم كوارت صغار؟
3092	corpus-6-dev	TUN	تجيبلنا صندرية، عيشك؟	تجيبلنا صندرية، يعيشك؟
3174	corpus-6-dev	TUN	تعطيني مسكن متاع وجيعة.	تعطيني مسكن متاع وجيعة.
3212	corpus-6-dev	TUN	تنجم تكلم شركة تامين؟	تنجم تكلم شركة تامين؟
3231	corpus-6-dev	TUN	تسكرة متاع طالب، عيشك.	تسكرة متاع طالب، يعيشك.
3233	corpus-6-dev	TUN	بربي اكتب جواب اول ما تخلط.	بربي اكتب جواب اول ما تخلط.
3239	corpus-6-dev	TUN	سامحني. اسمع، تو نخلص كل شي. ما تكلمش البوليسية. بابا يقتلني.	سامحني. اسمع، تو نخلص كل شي. ما تكلمش البوليسية. بابا يقتلني.
3266	corpus-6-dev	TUN	ازرب.	ازرب.
3272	corpus-6-dev	TUN	سامحني، اما تنعتني عالمحطة؟	سامحني، اما تنعتني عالمحطة؟
3278	corpus-6-dev	TUN	نحب نمشي للجبال.	نحب نمشي للجبال.
3290	corpus-6-dev	TUN	صرفهملي للبيسيتاس، عيشك.	اصرفهم لي للبيسيتاس، يعيشك.
3310	corpus-6-dev	TUN	لا، اما عنا طبيب يفهم ياباني بالقدا. مالا ما فماش مشكلة بالكل.	لا، اما عنا طبيب يفهم ياباني بالقدا. مالا ما فماش مشكلة بالكل.
3330	corpus-6-dev	TUN	وريني جدول الاوقات، يعيشك.	وريني جدول الاوقات، يعيشك.
3353	corpus-6-dev	TUN	تعرفش طبيب يحكي ياباني؟	تعرفش طبيب يحكي ياباني؟
3360	corpus-6-dev	TUN	مانيش مصدق الي انا راجع لليابان. ماذابيا نزيد نقعد.	مانيش مصدق اللي انا راجع لليابان. ماذابيا نزيد نقعد.
3366	corpus-6-dev	TUN	مشهور بالمحيط المزيان.	مشهور بالمحيط المزيان.
3418	corpus-6-dev	TUN	مستعد اتطيحلي السوم لسبعة دولار؟	مستعد تتطيح لي السوم لسبعة دولار؟
3431	corpus-6-dev	TUN	تفرجت في الماتش؟ ربحو اليانكيز.	تفرجت في الماتش؟ ربحوا اليانكيز.
3445	corpus-6-dev	TUN	لا عيشك، انجم نلقاه وحدي.	لا يعيشك، ننجم نلقاه وحدي.
3462	corpus-6-dev	TUN	تقلي اش فما اليوم في التلفزة؟	تقول لي اش فما اليوم في التلفزة؟
3473	corpus-6-dev	TUN	الفيلم في انا قناة؟	الفيلم في انى قناة؟
3483	corpus-6-dev	TUN	شنوة كوكتالكم المختصين فيه؟	شنوا كوكتالكم المختصين فيه؟
3551	corpus-6-dev	TUN	هاذا كان خارج برشة مالاربعينات لاواخر الستينات.	هاذا كان خارج برشا مالاربعينات لاواخر الستينات.
3693	corpus-6-dev	TUN	عندكم كريمة؟	عندكم كريمة؟
3703	corpus-6-dev	TUN	انجم نسال على وقت الخروج من هنا؟	ننجم نسال على وقت الخروج من هنا؟
3710	corpus-6-dev	TUN	فهمتك. خليني نشوف كتابي. عندي بلاصة الجمعة هاذي. تخير صباح ولا عشية؟	فهمتك. خليني نشوف كتابي. عندي بلاصة الجمعة هاذي. تخير صباح ولا عشية؟
3716	corpus-6-dev	TUN	سامحني. ما عنديش ما يكفي توة.	سامحني. ما عنديش ما يكفي توا.
3718	corpus-6-dev	TUN	باهي. هيا نعملوه. حاضر؟	باهي. هي نعملوه. حاضر؟
3719	corpus-6-dev	TUN	كوارتز هذا؟	كوارتز هذا؟
3722	corpus-6-dev	TUN	اه، ويلزمني ناخذ زادا شوية معجون اسنان.	آه، ويلزمني ناخذ زادا شوية معجون اسنان.
3730	corpus-6-dev	TUN	نومرو التاليفون واحد ثنين تلاثة اربعة خمسة ستة.	نومرو التالفون واحد اثنين ثلاثة اربعة خمسة ستة.
3732	corpus-6-dev	TUN	تحب لحم بقري ولا حوت؟	تحب لحم بقري ولا حوت؟
3736	corpus-6-dev	TUN	تغزر لورقة اختبار النضر؟	تغزر لورقة اختبار النضر؟
3760	corpus-6-dev	TUN	كان عندي دبوزة ماء معدني مالفريجيدار.	كان عندي دبوزة ماء معدني مالفريجيدار.
3821	corpus-6-dev	TUN	ما حبيتش هذا.	ما حبيتش هذا.
3824	corpus-6-dev	TUN	فهمتك. مزيان. اما موش غالي شوية.	فهمتك. مزيان. اما موش غالي شوية.
3830	corpus-6-dev	TUN	بقداش الليلة؟	بقداش الليلة؟
3855	corpus-6-dev	TUN	هذا ديليكاتو ولا يتكسر؟	هذا ديليكاتو ولا يتكسر؟
